Title,Metacritic Link,Steam Rating,Normal Price,Sale Price,Deal Rating
Sid Meiers Civilization VI,/game/sid-meiers-civilization-vi/,Very Positive,59.99,2.99,9.2
Hacknet,/game/hacknet/,Very Positive,9.99,1.49,9.2
Rogue Heroes: Ruins of Tasos,/game/rogue-heroes-ruins-of-tasos/,Mostly Positive,19.99,1.99,9.2
Yooka-Laylee and the Impossible Lair,/game/yooka-laylee-and-the-impossible-lair/,Very Positive,29.99,2.99,9.1
Goodbye Deponia,/game/goodbye-deponia/,Very Positive,19.99,1.99,9.1
Joe Dever's Lone Wolf HD Remastered,/game/joe-devers-lone-wolf-hd-remastered/,Mostly Positive,14.99,1.49,9.0
Werewolf: the Apocalypse - Heart of the Forest,/game/werewolf-the-apocalypse-heart-of-the-forest/,Very Positive,14.99,1.49,9.0
Chaos on Deponia,/game/chaos-on-deponia/,Very Positive,19.99,1.99,9.0
Ken Follett's The Pillars of the Earth,/game/ken-folletts-the-pillars-of-the-earth/,Very Positive,19.99,1.99,9.0
Deponia Doomsday,/game/deponia-doomsday/,Very Positive,19.99,1.99,8.9
Driftland: The Magic Revival,/game/pc/driftland-the-magic-revival,Mostly Positive,19.99,1.99,8.9
Deponia,/game/deponia/,Very Positive,9.99,0.99,8.8
The Red Solstice,/game/the-red-solstice/,Mostly Positive,9.99,0.99,8.8
Edna and Harvey: Harvey's New Eyes,/game/edna-and-harvey-harveys-new-eyes/,Very Positive,19.99,1.99,8.8
The Stillness of the Wind,/game/the-stillness-of-the-wind/,Mostly Positive,12.99,1.94,8.8
Neo Cab,/game/neo-cab/,Very Positive,14.99,2.24,8.8
Anna's Quest,/game/annas-quest/,Very Positive,19.99,1.99,8.8
Relicta,/game/relicta/,Mostly Positive,19.99,1.99,8.8
Narita Boy,/game/narita-boy/,Very Positive,24.99,2.49,8.8
A New Beginning - Final Cut,/game/pc/a-new-beginning---final-cut,Mostly Positive,9.99,0.99,8.8
Ghostrunner 2,/game/ghostrunner-2/,Very Positive,39.99,11.99,8.7
The Church in the Darkness,/game/the-church-in-the-darkness/,Mixed,19.99,1.99,8.7
The Serpent Rogue,/game/the-serpent-rogue/,Mixed,19.99,1.99,8.7
Encased: A Sci-Fi Post-Apocalyptic RPG,/game/encased-a-sci-fi-post-apocalyptic-rpg/,Mostly Positive,29.99,2.99,8.7
Hellblade: Senua's Sacrifice,/game/hellblade-senuas-sacrifice/,Very Positive,29.99,2.99,8.7
Killer is Dead - Nightmare Edition,/game/pc/killer-is-dead-nightmare-edition,Mostly Positive,19.99,1.99,8.7
Anomaly: Warzone Earth,/game/anomaly-warzone-earth/,Very Positive,9.99,1.09,8.7
Worms Rumble,/game/worms-rumble/,Mixed,14.99,1.49,8.6
The Coma 2: Vicious Sisters,/game/the-coma-2-vicious-sisters/,Overwhelmingly Positive,14.99,2.24,8.6
The Survivalists,/game/the-survivalists/,Mostly Positive,24.99,2.49,8.6
Yoku's Island Express,/game/yokus-island-express/,Overwhelmingly Positive,19.99,3.99,8.6
Shenmue III,/game/shenmue-iii/,Mostly Positive,29.99,2.99,8.5
Flockers,/game/flockers/,Mostly Positive,9.99,0.99,8.5
King of Seas,/game/king-of-seas/,Mixed,24.99,2.49,8.5
The Shrouded Isle,/game/the-shrouded-isle/,Mostly Positive,12.99,1.94,8.5
Agents of Mayhem,/game/agents-of-mayhem/,Mixed,29.99,2.99,8.5
The Escapists: The Walking Dead,/game/the-escapists-the-walking-dead/,Mixed,17.99,1.79,8.5
SteamWorld Heist,/game/steamworld-heist/,Overwhelmingly Positive,14.99,1.49,8.5
Hitman 2: Silent Assassin,/game/hitman-2-silent-assassin/,Very Positive,8.99,1.79,8.5
Alien Breed 3: Descent,/game/alien-breed-3-descent/,Mostly Positive,9.99,0.99,8.5
Fire: Unghs Quest,/game/fire-unghs-quest/,Very Positive,9.99,0.99,8.5
Kona II: Brume,/game/kona-ii-brume/,Mostly Positive,29.99,9.89,8.5
Indivisible,/game/indivisible/,Mostly Positive,39.99,5.99,8.5
Alien Breed 2: Assault,/game/alien-breed-2-assault/,Mostly Positive,9.99,0.99,8.4
Mortal Shell,/game/mortal-shell/,Mostly Positive,29.99,2.99,8.4
Worms W.M.D,/game/worms-wmd/,Very Positive,29.99,4.49,8.4
Hammerting,/game/hammerting/,Mixed,24.99,2.49,8.4
Alien Breed: Impact,/game/pc/alien-breed-impact,Mostly Positive,9.99,1.09,8.4
Super Magbot,/game/super-magbot/,Very Positive,9.99,1.99,8.4
Overcooked,/game/overcooked/,Very Positive,16.99,3.39,8.4
SteamWorld Dig 2,/game/steamworld-dig-2/,Overwhelmingly Positive,19.99,2.99,8.3
Vertiginous Golf,/game/vertiginous-golf/,Mixed,9.99,1.49,8.3
Kings Bounty II,/game/kings-bounty-ii/,Mixed,39.99,3.99,8.3
Tangle Tower,/game/tangle-tower/,Overwhelmingly Positive,19.99,3.99,8.3
BioShock Infinite,/game/bioshock-infinite/,Very Positive,59.99,11.99,8.2
SteamWorld Dig,/game/steamworld-dig/,Very Positive,9.99,0.99,8.2
Worms Reloaded,/game/pc/worms-reloaded,Very Positive,19.99,3.99,8.2
GOD EATER 3,/game/god-eater-3/,Very Positive,59.99,5.99,8.2
Objects in Space,/game/objects-in-space/,Mixed,24.99,4.99,8.2
Escape Dead Island,/game/escape-dead-island/,Mixed,14.99,1.49,8.1
